icao,name
00A,Bensalem - Total Rf
00AA,Leoti - Aero B Ranch
00AK,Anchor Point - Lowell
00AL,Harvest - Epps
00AN,King Salmon - Katmai Lodge
00AR,Bennington - Arland
00AS,Alex - Fulton
00AZ,Cordes
00C,Durango - Animas Air Park
00CA,Barstow - Goldstone Gts
00CL,Biggs - Williams Ag
00CN,Pine Valley - Kitchen Creek Helibase
00CO,Briggsdale - Cass
00F,Broadus
00FA,Bushnell - Grass Patch
00FL,Okeechobee - River Oak
00GA,Lithonia - Lt World
00GE,Hiram - Caffrey
00ID,Clark Fork - Delta Shores
00IG,Mcdonald - Goltl
00IL,Polo - Hammer
00IN,Hobart - Center
00IS,Kings - Farms
00KS,Gardner - Hayden Farm
00KY,Stanford - Robbins Roost
00LA,Gonzales - Shell Chemical
00LS,Esterwood - Lejeune
00M,Bay Springs - Thigpen
00MD,Federalsburg - Slater
00MI,Davison - The Waldron Way
00MN,Battle Lake
00MO,Alba - Cooper Flying Service
00MT,Livingston Healthcare
00N,Bridgeton - Bucks
00NC,Louisburg - North
00NJ,New Brunswick - Colgate-Piscataway
00NK,Beekmantown - Cliche Cove
00NR,Rodanthe
00NY,West Bloomfield - Weiss
00OH,Cincinnati - Center
00OI,Dayton - Miami Valley Hospital
00OK,Sandsprings - Bay Landing
00PN,Mercer - Ferrell
00PS,Loysville - Thomas
00R,Livingston Muni
00S,Mc Kenzie Bridge
00SC,Sumter - Flying O
00SD,Gary - Homan
00TA,Port Arthur - Sabine Pilots
00TN,Lebanon - Thompson Farms
00TS,Everman - Alpine Range
00TT,Goodlett - Nowhere
00TX,Van - Delva
00U,Hardin - Big Horn County
00VA,Alton - Vaughan
00VI,Hillsville - Groundhog Mountain
00W,Colfax - Lower Granite State
00WA,Longbranch - Howell
00WI,Waupaca - Northern Lite
00WN,Asotin - Hawks Run
00WV,Beverly - Lazy J
00WY,Casper - Mountain View
00XA,Hempstead - Weeski Ranch
00XS,Benavides - Sweden Ranch
01A,Purkeypile
01AK,Seward Providence
01AL,Clanton - Ware Island
01AN,Wasilla - Mc Hone Heights
01AZ,Camp Verde - Yat
01B,Warsaw - Tippecanoe
01CA,Hesperia - Lugo Substation
01CL,Placerville - Swansboro Country
01CN,Talkeetna - Coleman Homestead
01CO,Leadville - St
01CT,Berlin Fairgrounds
01D,Syracuse - Lake Wawasee
01E,Angola - James
01F,Hamilton Lake
01FA,Orlando - Rybolt Ranch
01FD,Altamonte Springs Advent
01FL,Geneva - Ranch
01G,Perry Warsaw
01GA,Columbus - Medical Center
01GE,Wrightsville - The Farm
01H,Culver - Lake Maxinkuckee
01IA,Maysville - Stender
01ID,Lava Hot Springs
01II,Lizton - Myers
01IL,Hoopeston
01IN,Anderson - Community Hospital
01IS,Dow - William E Koenig
01J,Hilliard
01K,Caldwell Muni
01KS,Lost Springs - Flying N Ranch
01KY,Paducah - Lourdes Hospital
01L,Winona - Bass Lake
01LA,Oak Ridge - Barham
01LL,Pinckneyville - Schumaier Restricted Landing
01LS,Slaughter - Country Breeze
01M,Belmont - Tishomingo County
01MA,Andover Compaq
01MD,Annapolis
01ME,Portage Lake - St
01MI,Flint - Flow Through Trml
01MN,Cook - Barnes
01MT,Fortine - Crystal Lakes Resort
01MU,Tucson - Nwmc/Houghton
01NC,Holly Ridge - Topsail
01NE,Wellfleet - Detour
01NH,Canaan - Moore
01NK,Granville
01NM,Artesia - Champion Ranch
01NR,Wilmington - Mcgee 01
01NV,Yerington - Lantana Ranch
01NY,Poughkeepsie - Center
01OH,Middletown - Atrium Medical Center
01OI,Galion Community
01OK,Mounds - Merrill Ranch
01OL,Tishomingo - Spring Creek Ranch
01OR,La Grande Ronde
01PA,Bolivar - Powell Kaiser
01PN,Bellefonte - Bierly(Personal Use
01PS,Meshoppen - Nort'S Resort
01SC,York
01TE,Forney - Smith
01TN,Collierville - Colonial Air Park
01TS,Groesbeck - Fort Parker Flying
01TT,Clute
01TX,Graham - Beulah
01U,Duckwater
01UT,La Sal
01VA,Berryville - Pickles
01WA,South Bend - Willapa Harbor
01WI,Tomah - Prehn Cranberry Company
01WN,Coupeville - Whidbey General Hospital
01WT,Renton - Odyssey
01WY,Moorcroft - Keyhole
01XA,Kyle - Hays
02A,Clanton - Chilton County
02AA,Big Lake - Barefoot
02AK,Willow - Rustic Wilderness
02AL,Foley - Bass
02AN,Homer - Emerald Ridge
02AR,Murfreesboro - Mount Moriah
02AZ,Marana - Silver Bell Ahp
02C,Brookfield - Capitol Drive
02CA,Huntington Beach - Beta Platform Ellen
02CD,Clarksdale - Shannon
02CL,Frazier Park - Conover Air Lodge
02CO,Monte Vista - Mc Cullough
02CT,Ellington - Strangers Point
02D,Winona Lake
02FA,Groveland - Osborn
02FD,Baker - Triple R Ranch
02FL,Plant City South
02G,East Liverpool - Columbiana
